fioriId,LineofBusiness,RoleName,AppName,ApplicationType,App Launcher Title - Subtitle,ApplicationComponent,UITechnology,ProductCategory,Database,FrontendProductVersion,ProductVersionNameBackend,HANAProductVersion,FrontendProductVersionStack,BackendProductVersionStack,HANAProductVersionStack,Semantic Object Action,TechnicalCatalogName,TechnicalCatalogDescription,BusinessCatalogName,BusinessCatalogDescription,BusinessGroupName,BusinessGroupDescription,Page,Page Title,Space,Space Title,LeadingBusinessRoleName,LeadingBusinessRoleDescription,AdditionalBusinessRoleName,AdditionalBusinessRoleDescription,Industry,Fiori UI Adaptation,GTMAppDescription,BSPName,BSPApplicationURL,SAPUI5ComponentId,LeadingTransactionCodes,WDAConfiguration,Link,
F0029A,Sales,Internal Sales Representative,Sales Order Fulfillment Issues (Version 2),"Transactional, Analytical",Sales Order Fulfillment - Analyze and Resolve Issues,SD-FIO-HBA,SAP Fiori elements,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,"SalesOrderFulfillmentIssue-analyzeALPDetails, SalesOrderFulfillmentIssue-analyzeALPDetails_ForNav",SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,"SAP_SD_BC_SLS_ORD_MNTRG, SAP_SD_BC_SLS_ORD_TRACKING","Sales - Sales Order Monitoring, Sales - Sales Order Monitoring and Tracking","SAP_SD_BCG_SLS_ORD_MNTRG, SAP_SD_BCG_SLS_ORD_TRACKING","Sales Order Monitoring, Sales Order Monitoring and Tracking",,,,,SAP_BR_INTERNAL_SALES_REP,Internal Sales Representative,SAP_BR_SALES_MANAGER,Sales Manager,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Engineering, Construction, and Operations; Higher Education and Research; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; Mining; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Public Sector; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Utilities; Wholesale Distribution; obsolete - Entertainment",,"This app allows you to analyze and resolve issues that impede sales orders from being fulfilled. With it, you can analyze sales orders in critical stages, collaborate with contacts, and efficiently address issues to ensure that sales orders in critical stages are fulfilled as quickly as possible. The app highlights impediments, provides supporting information, and allows you to navigate to Track Sales Order Details to display further details and resolve the issues.",SOFULFIL_S1,/sap/bc/ui5_ui5/sap/sofulfil_s1,cus.sd.sofulfil.analyzes1,V.00,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0029A
F1609,Sales,Order-to-Cash Process Manager,Business Process Activities,Analytical,,CA-EPT-POC,SAP Fiori (SAPUI5),SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,"SalesOrder-displayProcessActivities, OrderToCashPerformanceKPI-showSalesOrderProcessActivitiesSB",SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,SAP_SD_BC_SALES_PROC_PERF,Order-to-Cash Performance,,,,,,,SAP_BR_SALES_PROCESS_MANAGER,Order-to-Cash Process Manager,,,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Wholesale Distribution; obsolete - Entertainment",,"This app helps you, as a manager or owner of your company’s order-to-cash process, to get a comprehensive overview of the performance and conformity of all the sales order processes in your company. It provides key figures with respect to the duration of certain process steps in the order-to-cash process as well as to the number of occurrences of important events that have been triggered during process execution. With the help of these key figures you can easily determine the health status of your sales process and find potential areas of improvement at a glance. Here are some activities you can perform with the help of the app:  Track delivery blocks or billing blocks   Detect changes made to critical fields of a sales order   Monitor lead times (for example, order to delivery or goods issue to billing)",POB_O2C_MONS1,/sap/bc/ui5_ui5/sap/pob_o2c_mons1,fnd.pob.o2c.monitor,POC_MONITOR,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F1609
F1810,Sales,Order-to-Cash Process Manager,Aggregated Business Process Activities,Analytical,,CA-EPT-POC,SAP Fiori (SAPUI5),SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,OrderToCashPerformanceKPI-displayAggregatedProcessActivities,SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,SAP_SD_BC_SALES_PROC_PERF,Order-to-Cash Performance,,,,,,,SAP_BR_SALES_PROCESS_MANAGER,Order-to-Cash Process Manager,,,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Wholesale Distribution; obsolete - Entertainment",,"This app helps you, as a manager or owner of your company’s order-to-cash process, to get a comprehensive overview of the performance and conformity of all the sales order processes in your company. It provides key figures with respect to the duration of certain process steps in the order-to-cash process as well as to the number of occurrences of important events that have been triggered during process execution. With the help of these key figures you can easily determine the health status of your sales process and find potential areas of improvement at a glance. Here are some activities you can perform with the help of the app:  Track delivery blocks or billing blocks   Detect changes made to critical fields of a sales order   Monitor lead times (for example, order to delivery or goods issue to billing)",POB_O2C_AGGS1,/sap/bc/ui5_ui5/sap/pob_o2c_aggs1,fnd.pob.o2c.aggregated,POC_MONITOR,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F1810
F1904,Sales,Internal Sales Representative,Quotation Conversion Rates,Analytical,Quotation Conversion Rates - Valid/Not Completed,SD-FIO-HBA,SAP Fiori: SAP Smart Business generic drill down app,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,SalesQuotation-ssb_Quotation_ConversionRates,SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,"SAP_SD_BC_SALES_ANLYTS_OP, SAP_SD_BC_QUOT_PROC_OP","Sales - Analytics, Sales - Quotation Processing","SAP_SD_BCG_SALES_ANLYTS_OP, SAP_SD_BCG_QUOT_PROC_OP","Sales Analytics, Sales Quotations",,,,,SAP_BR_INTERNAL_SALES_REP,Internal Sales Representative,SAP_BR_SALES_MANAGER,Sales Manager,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Engineering, Construction, and Operations; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; Mining; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Utilities; Wholesale Distribution; obsolete - Entertainment",,"This analytical app displays quotation conversion rate which indicates the percentage of net values converted from quotations into sales orders. As an internal sales representative or a sales manager, you can use quotation conversion rate to track to what extent your quotations are being converted to sales orders before expiring. By leveraging machine learning capabilities, you can gain predictive insights into quotation conversion by comparing actual and predicted results.",SBRT_APPSS1,/sap/bc/ui5_ui5/sap/sbrt_appss1,k1502854769145,VA25,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F1904
F1905,Sales,Internal Sales Representative,Sales Contract Fulfillment Rates,Analytical,Sales Contract Fulfillment Rates - Currently Valid,SD-FIO-HBA,SAP Fiori: SAP Smart Business generic drill down app,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,SalesContract-ssb_Contract_FulfillmentRates,SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,"SAP_SD_BC_SALES_ANLYTS_OP, SAP_SD_BC_CONTR_PROC_OP","Sales - Analytics, Sales - Contract Processing","SAP_SD_BCG_SALES_ANLYTS_OP, SAP_SD_BCG_CONTR_PROC_OP","Sales Analytics, Sales Contracts",,,,,SAP_BR_INTERNAL_SALES_REP,Internal Sales Representative,SAP_BR_SALES_MANAGER,Sales Manager,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Engineering, Construction, and Operations; Higher Education and Research; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; Mining; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Public Sector; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Utilities; Wholesale Distribution; obsolete - Entertainment",,"This analytical app displays sales contract fulfillment rate, which indicates the percentage of the target value that has been released in a sales contract. As an internal sales representative or a sales manager, you can use sales contract fulfillment rate to analyze how well the contracts in your responsible sales area are being fulfilled. You can quickly identify contracts that need to be renewed soon, as well as contracts that are not being fulfilled as expected.",SBRT_APPSS1,/sap/bc/ui5_ui5/sap/sbrt_appss1,k1540950697269,VA45,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F1905
F2005,Sales,Order-to-Cash Process Manager,Order-to-Cash Performance,Analytical,Order-to-Cash Performance - Last 28 Days,CA-EPT-POC,SAP Fiori: SAP Smart Business generic drill down app,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,"OrderToCashPerformanceKPI-analyzeKPIDetailsS4HANA, OrderToCashPerformanceKPI-analyzeSBKPIDetailsS4HANA",SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,SAP_SD_BC_SALES_PROC_PERF,Order-to-Cash Performance,SAP_SD_BCG_SALES_PROC_PERF,Order-to-Cash Performance,,,,,SAP_BR_SALES_PROCESS_MANAGER,Order-to-Cash Process Manager,,,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Wholesale Distribution; obsolete - Entertainment",,"This app helps you, as a manager or owner of your company’s order-to-cash process, to get a comprehensive overview of the performance and conformity of all the sales order processes in your company. It provides key figures with respect to the duration of certain process steps in the order-to-cash process as well as to the number of occurrences of important events that have been triggered during process execution. With the help of these key figures you can easily determine the health status of your sales process and find potential areas of improvement at a glance. Here are some activities you can perform with the help of the app:  Track delivery blocks or billing blocks   Detect changes made to critical fields of a sales order   Monitor lead times (for example, order to delivery or goods issue to billing)",SBRT_APPSS1,/sap/bc/ui5_ui5/sap/sbrt_appss1,ssuite.smartbusiness.runtime.s1,POC_MONITOR,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2005
F2006,Sales,Order-to-Cash Process Manager,Order-to-Cash Performance Monitor - Time Series,Analytical,Order-to-Cash Performance - Time Series,CA-EPT-POC,SAP Fiori: Analysis Path Framework (APF),SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,"OrderToCashPerformanceKPI-executeAPFConfigurationS4HANATotal, OrderToCashPerformanceKPI-executeAPFConfigurationS4HANALead, OrderToCashPerformanceKPI-executeAPFConfigurationS4HANA",SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,SAP_SD_BC_SALES_PROC_PERF,Order-to-Cash Performance,SAP_SD_BCG_SALES_PROC_PERF,Order-to-Cash Performance,,,,,SAP_BR_SALES_PROCESS_MANAGER,Order-to-Cash Process Manager,,,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Wholesale Distribution; obsolete - Entertainment",,"This app helps you, as a manager or owner of your company’s order-to-cash process, to get a comprehensive overview of the performance and conformity of all the sales order processes in your company. It provides key figures with respect to the duration of certain process steps in the order-to-cash process as well as to the number of occurrences of important events that have been triggered during process execution. With the help of these key figures you can easily determine the health status of your sales process and find potential areas of improvement at a glance. Here are some activities you can perform with the help of the app:  Track delivery blocks or billing blocks   Detect changes made to critical fields of a sales order   Monitor lead times (for example, order to delivery or goods issue to billing)",POB_O2C_APFS1,/sap/bc/ui5_ui5/sap/pob_o2c_apfs1,ux.fnd.apf.o2c.perf.app,POC_MONITOR,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2006
F2200,"Sales, Service",Internal Sales Representative,My Sales Overview,Analytical,My Sales Overview,SD-FIO-HBA,SAP Fiori elements: Overview Page,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,InternalSales-displayOverviewPage,SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,SAP_SD_BC_SALES_OVP_DISPL,Sales - Sales Overview,SAP_SD_BCG_SALES_OVP_DISPL,Sales Overview,,,,,SAP_BR_INTERNAL_SALES_REP,Internal Sales Representative,,,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Engineering, Construction, and Operations; Higher Education and Research; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; Mining; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Public Sector; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Utilities; Wholesale Distribution; obsolete - Entertainment",,"With this app, you can display and create sales data using actionable cards that are grouped together in a dashboard format.",SD_OVP_ISRS1,/sap/bc/ui5_ui5/sap/sd_ovp_isrs1,cus.sd.ovp.isr,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2200
F2235,Sales,Sales Manager,Sales Volume - Detailed Analysis,Analytical,Sales Volume - Detailed Analysis,SD-FIO-HBA,SAP Fiori: Analysis Path Framework (APF),SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,BillingDocument-analyzeSalesVolume,SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,SAP_SD_BC_SALES_ANLYTS_OP,Sales - Analytics,SAP_SD_BCG_SALES_ANLYTS_OP,Sales Analytics,,,,,SAP_BR_SALES_MANAGER,Sales Manager,,,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Wholesale Distribution; obsolete - Entertainment",,"With this app, you as a sales manager can drill down into your sales volume from different perspectives. Sales volume refers to the total invoiced sales achieved during a specified period. This is based on invoice items or debit memo items (debits) that have not been canceled. You can customize a step-by-step analysis path that will help you identify the root cause behind sales volume fluctuations.",SD_SVA_S1,/sap/bc/ui5_ui5/sap/sd_sva_s1,cus.sd.salesvolumeanalysis,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2235
F2242,Sales,Order-to-Cash Process Manager,Order-to-Cash Performance - Overview,Analytical,Order-to-Cash Performance - Overview,CA-EPT-POC,SAP Fiori elements: Overview Page,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,OrderToCashPerformanceKPI-displayOverviewPage,SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,SAP_SD_BC_SALES_PROC_PERF,Order-to-Cash Performance,SAP_SD_BCG_SALES_PROC_PERF,Order-to-Cash Performance,,,,,SAP_BR_SALES_PROCESS_MANAGER,Order-to-Cash Process Manager,,,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Wholesale Distribution; obsolete - Entertainment",,"This app helps you, as a manager or owner of your company’s order-to-cash process, to get a comprehensive overview of the performance and conformity of all the sales order processes in your company. It provides key figures with respect to the duration of certain process steps in the order-to-cash process as well as to the number of occurrences of important events that have been triggered during process execution. With the help of these key figures you can easily determine the health status of your sales process and find potential areas of improvement at a glance. Here are some activities you can perform with the help of the app:  Track delivery blocks or billing blocks   Detect changes made to critical fields of a sales order   Monitor lead times (for example, order to delivery or goods issue to billing)",POB_O2C_OVPS1,/sap/bc/ui5_ui5/sap/pob_o2c_ovps1,ux.fnd.pob.o2c.ovp,POC_ACTIVE,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2242
